Herbs/Ingredients;Cost;Rarity;Ability;Description;Type;Location
Amanita Cap;10;Common;Toxin Modifier: Changes any poison Effect to be non-lethal and only incapacitate the target.;This large mushroom is often found growing in clusters near bodies of water, or around other damp terrain. It has a bold blue stem accompanied by a large red cap, which makes this fungi extremely easy to identify. Professional herbalists often cut the head from the root, as the mushroom has the rare ability to re-grow its cap within a few short weeks.;Plant;Coastal, Swamp
Basilisk Breath;25;Very Rare;Special (Toxin Effect): Slowly paralyzes opponent. Target makes a DC 5 + Alchemy Modifier CON saving throw each turn for 4 turns. While under this affect, target is considered slowed by the slow spell. On a failed save, the target is considered [paralyzed] for 4 rounds. Cannot be modified or altered by other ingredients.;Often referred to as Grey Restraints amongst the nobles of the world, this dark grey vine is only rarely found atop the highest peaks of mountainous regions. It is fabled that this vine is a gift from the gods, as a way to test humanity. Often sold for outrageous sums of gold, Basilisk’s Breath can attract unwanted attention to those trying to sell it for profit.;Plant;Mountain, Coastal, Town
Cactus Juice;10;Common;Toxin Modifier: The target will not notice any poison damage Effect in their system until they take 5 rounds of damage from the toxin.;This usually clear liquid can be found within most cacti around the world. It’s reasonably difficult to extract, as many cacti are dangerous to work with. Brewers love to use this juice in many recipes, as one of its effects is to delay alcohol intoxication, allowing people to purchase and consume more before it hits them.;Plant;Desert, Grassland
Frozen Seedlings;20;Rare;Toxin Modifier: While [poisoned], target’s movement speed is reduced by 10 ft for 1 minute. Cannot be altered by other ingredients.;These small, pea sized pods can be found amongst resilient flowers in very cold environments. Named for their almost frozen appearance, they can be plucked with relative ease and are often used in cold alcoholic drinks. Some assassins have found ways to crush these into a paste and hamper one’s movements.;Plant;Arctic, Mountain
Harrada Leaf;10;Common;Toxin Modifier: While [poisoned], target has disadvantage on ability checks. Cannot be altered by other ingredients.;This huge yellow leaf can often be found near tree tops in lush environments. It is often cultivated and harvested by gangs or the Thieves Guilds to be sold as a street drug. The potent nature of this addictive substance will cause a brief euphoric state coupled with an increase in a specific attribute, followed by a long recovery period in which the user is extremely weakened in that attribute.;Plant;Forest
Quicksilver Lichen;5;Very Common;Toxin Modifier: Double the dice rolled of any Toxin Effect, but reduce that Effect duration by half. This modifier can stack.;This silver and grey silky moss can be found growing amongst almost any substance as it seems to ignore environmental standards. Assassins have been able to use this lichen to quickly administer their toxins into the target’s system without any drawbacks. However, this takes some preparation and is often forgotten by common folk.;Plant;Arctic, Desert, Coastal, Underwater, Ocean, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Town
Spineflower Berries;15;Uncommon;Toxin Modifier: Increase the dice-type by 1 size for any Toxin Effect.;Often found hanging amongst the bonelike flowers, this white berry can be harvested and crushed to enhance toxins made by scoundrels. However, this effect only applies when introduced directly to the bloodstream. When ingested normally these berries provide little sustenance, but do not harm the person.;Plant;Desert, Swamp
Wyrmtongue Petals;5;Very Common;Toxin Effect: 1d4 + Herbalism Modifier poison damage per round, target is [poisoned] for 1 minute.;The assassins, and many Drows, favorite natural ingredient. These jagged red petals can be found growing on Wyrmtongue flowers in almost every terrain. It’s almost as if the world itself is trying to test humanity by letting these flowers grow everywhere. These petals are used as a base for toxins that can offer extremely powerful damage. For this reason, Wyrmtongue is highly illegal, and in many cases punishes owners of this flower with death.;Plant;Arctic, Desert, Coastal, Underwater, Ocean, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Town
Arrow Root;15;Uncommon;Enchantment: +1 to attack rolls for one minute when applied to a weapon.;This unusually elongated plant can stand up to four feet tall, and is very easy to spot due to its distinctive white and brown speckled pattern. The Arrow Root thrives in desert and drought environments, as the plant needs very little water to survive. When diced and boiled in water the plant creates a frothy silver liquid, which is ideal for sharpening and polishing weapons and armor without the use of magic or other means.;Plant;Desert, Forest, Grassland
Black Sap;300;Very Rare;Enchantment: User creates a potion of possibility.;"This tarry substance harvested from the dark boughs of the death’s head willow is a powerful intoxicant. It can be smoked as a concentrate or injected directly into the bloodstream. A creature subjected to a dose of black sap cannot be charmed or frightened for 1d6 hours. It can also be mixed with the proper ingridents to create a Potion of Possibility.

For each dose of black sap consumed, a creature must succeed on a DC 15 Constitution saving throw or become poisoned for 2d4 hours—an effect that is cumulative with multiple doses.";Plant;Forest, Swamp
Blight Ichor;200;Rare;Enchantment: User creates a potion of mind control (humanoid).;This bitter chartreuse concoction is distilled from a fungus native to the Blightshore badlands. The sickly green liqueur harbors potent psychedelic properties. Provided it is neither a construct nor undead, a creature subjected to a dose of blight ichor gains advantage on Intelligence and Wisdom checks, as well as vulnerability to psychic damage, for 1 hour. For each dose of blight ichor consumed, the creature must succeed on a DC 15 Constitution saving throw or become poisoned for 1d6 hours and suffer the effects of a confusion spell for 1 minute. An undead creature subjected to a dose of blight ichor gains advantage on all Dexterity checks and is immune to the frightened condition for 1 hour.;Plant;Forest, Swamp, Coastal
Blue Toadshade;20;Rare;Enchantment: User creates a potion of gaseous form.;Another common mushroom is this dark blue cap with a yellow striped stem. When disturbed, this mushroom lets off a puff of blue powder. Usually this causes no permanent harm to the surrounding creatures, but it can stain their skin and equipment for a short while. The powder is commonly used to color various inks and dyes. Herbalists usually search for the fungi around small watering holes, where aquatic life often thrives.;Plant;Coastal, Forest, Swamp
Chromus Slime;20;Rare;Special (Enchantment Modifier): The final Effect after all other calculations is the exact opposite. This is up to the DM’s discretion on the specifics per Enchantment;This thin slime substance is often observed to flow within water current as if it had a mind of its own. Often times, scientists mistake this slime with mercury, as it has the same consistency and look. When attempting to alter the slime, it reverberates and alters the other plant life it touches instead.;Plant;Coastal, Underdark, Underwater, Ocean
Cosmos Glond;20;Rare;Enchantment: User creates a potion of clairvoyance.;This uncommon four-leafed plant is notorious for being somewhat difficult to find. This is mostly due to the plant growing about 5 feet underneath the ground, and only peeking out during its final maturity. However, it has an uncanny look of the stars in a night sky amongst its leaves.;Plant;Coastal, Desert, Underwater, Ocean
Devil's Bloodleaf;25;Very Rare;Enchantment: User creates a potion of vitality.;Only a few recorded instances of this red and yellow flower exist. This large and bold red leaf can be going back in history to the dawn of humankind. It was once a popular decoration around homes and gardens, but has become one of the rarest plants in the world. It is said to give immense vitality and health to one who can properly prepare the plant.;Plant;Hill, Swamp, Underdark, Underwater, Ocean
Elemental Water;20;Rare;Special (Enchantment): This is required as the base catalyst for all Enchantment ingredients.;This unique liquid shares properties of the planar realms of the 4 elements. At times you can see rocks floating unnaturally in the middle and at other times you can swear you see fire in the water. This special water can be found in all environments as it is not bound to our physical world’s rules.;Plant;Arctic, Desert, Coastal, Underwater, Ocean, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Town
Fiend's Ivy;20;Rare;Enchantment: User creates a potion of mind reading.;These long, red thorn-encrusted vines can stretch up to 3 feet long and have sharp thorns that reach up to an inch or two long. It isn’t rare to find blood stains amongst these vines as many animals and adventurers can easily trip or get caught in a bushel of the vines. The vines also seem to have a sentient quality to them as they relax when prey is near, and contract when captured.;Plant;Arctic, Underdark
Giant Ant;0,5;Common;Enchantment: User creates a philter of love;Insects that come in a variety of colors ranging from brown, red, even silver. Finding one usually means a colony is nearby. When mixed with the right ingrients, they can be used to have enchanting effects.;Bug;Desert, Forest, Grassland, Mountain, Hill, Underdark, Town
Giant Bumblebee;2;Common;Enchantment: User creates a potion of mind control (beast);Small but fuzzy insects that are known for pollunating flowers and giving life to springtime. Not to be confused with the more angry hornets, these black and yellow fuzzballs can be mixed to help gain control of beasts when mixed and applied properly.;Bug;Forest, Grassland, Hill, Town
Giant Butterfly;10;Uncommon;Enchantment: User creates a potion of thunder resistance;Located all over the world, these insects can have hundreds of different colors and patterns associated to them. Used to create potions of resistance to thunder.;Bug;Arctic, Forest, Grassland, Mountain, Hill, Coastal, Town
Giant Caterpillar;1;Common;Enchantment: User creates an oil of etherealness;Found on small twigs, eating lots of leaves, some can be quite large and furry while others are small and colorful. Mixed properly, they can be used to create certain types of oils.;Bug;Forest, Grassland, Hill
Giant Cicada;50;Rare;Enchantment: User creates a potion of comprehension;Easier to find at dusk, these strange insects are known for their distinct buzzing to attact mates. They can be used to help expand the mind of those who consume them with the right ingredients.;Bug;Desert, Forest, Grassland
Giant Cricket;1;Common;Enchantment: User creates a potion of lightning resistance;Small but loud, these creatures are incredibly well know for their sound and implications of a bad performance. Mixed with elemental water, these small black insects can help create certain resistances.;Bug;Forest, Grassland, Hill
Giant Dragonfly;15;Uncommon;Enchantment: User creates a potion of hill giant strength;Zipping around the air, these bugs are usually bright greens, blues, or golds to highlight their sleek bodies. When broken down and mixed with elemental water, they can be used to produce powerful effects.;Bug;Desert, Forest, Grassland, Hill
Giant Dung Beetle;45;Rare;Enchantment: User creates a potion of frost giant strength;Known for rolling large balls of dung across barren lands, these purple beetles are capable of giving anyone who consumes them superior strength.;Bug;Desert, Grassland
Giant Firefly;1;Common;Enchantment: User creates a potion of radiant resistance;Seen mostly during the evening hours of the day, these insects use their natural bioluminescence to attract mates by flashing distinct light patterns. This natural radiance can help prevent radiant damage when applied properly.;Bug;Forest, Grassland, Mountain, Hill, Coastal
Giant Glowworm;30;Rare;Enchantment: User creates a potion of aqueous form;Found deep underground, these small glowing worms are found in huge colonies. Usually found in damp areas with underground lakes, their natural light can be a plesant sight for those lost in the Underdark. Proper mixtures and applications can help create potions of aqueous form.;Bug;Mountain, Underdark
Giant Grasshopper;10;Uncommon;Enchantment: User creates a potion of necrotic resistance;Found hopping and flying throughout grasslands, these insects are used for a variety of different magical effects such as spells and potions.;Bug;Grassland, Hill
Giant Hornet;80;Very Rare;Enchantment: User creates a potion of cloud giant strength;Known for their stingers and fierce attitudes, and mistaken for bees. These black and yellow bugs can be mixed to create powerful potions.;Bug;Forest, Mountain
Giant Ladybug;0,5;Common;Enchantment: User creates a potion of storm giant strength;Well known for their black-spotted red shells, these beetles are excellent for crops, and love the warmth of summer. Properly mixed with elemental water, they can produce strong enchancements to the user.;Bug;Desert, Forest, Grassland, Hill
Giant Praying Mantis;35;Rare;Enchantment: User creates a potion of poison;Females are known for decapitating and eating the males who mate with them as well as their sharp front legs, but they can be used to create potions of poison.;Bug;Forest, Grassland, Hill, Mountain
Giant Rhino Beetle;75;Very Rare;Enchantment: User creates a potion of acid resistance;"Using their large ""horn"", these blue beetles battle each other for a chance to mate with a female, but when applied correctly, they can create potion of resistance.";Bug;Forest, Grassland, Hill
Giant Scarab Beetle;65;Rare;Enchantment: User creates a potion of mind control (monster);With a variety of colors from black to emerald green, these beetles are found throughout the desert and are one of a few insect capable of surviving the heat. Properly mixed with elemental water, and given the proper circumstance, these can be used to gain control over powerful monsters.;Bug;Desert
Giant Slug;0,5;Uncommon;Enchantment: User creates a potion of cold resistance;Long and slimy creatures that have many magical applications such as spells and potions. They're fairly slow moving and leave trails of a slime-like substance.;Bug;Forest, Grassland, Mountain, Hill, Coastal
Giant Stag Beetle;80;Very Rare;Enchantment: User creates a potion of force resistance;With long powerful pincers, these yellow striped beetles use their pincers for defense and during mating rituals, but with the right process, they can be used to create potions of resistance.;Bug;Forest, Grassland, Hill
Hydrathistle;15;Uncommon;Enchantment: User creates a potion of water breathing.;Named for its appearance, this threepronged blue and black flower is often found in dark and dank environments. When used alone, the thistle has no real beneficial effects. However, skilled alchemists have been able to use highly powerful and natural water to concoct potions that allow them to breath in water;Plant;Coastal, Swamp, Underwater, Ocean
Ironwood Heart;15;Uncommon;Enchantment: User creates a potion of growth.;This gnarled white seed is commonly found in the nooks of Ironwood Trees. These large seeds pulse with a slow repetitive beat when gripped tightly, often referred to as “Nature’s Heartbeat”. It is said that when cooked or properly prepared by a Herbalist these seeds can increase a beings physical size greatly.;Plant;Arctic, Forest, Hill, Town
Luminous Cap Dust;20;Rare;Enchantment: User creates a potion of heroism.;This powder can be shook from the glowing yellow mushrooms often found in extremely dark environments and it keeps an ember-like glow for about a week after extracted. Many Herbalists keep the glowing mushrooms themselves in dark cellars in order to harvest this dust every chance they can.;Plant;Mountain, Underdark
Mortflesh Powder;25;Very Rare;Enchantment: User creates a potion of longevity.;This dark purple powder is often found growing on top of moss in dark, cold environments. This powder is often used as makeup for young men and women to reduce the look of age from their faces. When imbibed with a magical catalyst, the effect is said to be permanent when consumed.;Plant;Arctic, Underdark
Muroosa Balm;15;Uncommon;Enchantment: User creates a potion of fire resistance.;"This paste made from the muroosa bush is known to help prevent sunburn, but it is also a fire retardant. After spending 1 minute applying a quarter pint of muroosa balm to your skin, you gain resistance against fire damage for 1 hour.

Cost: 1 gp per dose for sunburn, 100 gp for a full application against fire.";Plant;Forest, Grassland, Town
Nightshade Berries;15;Uncommon;Enchantment: User creates oil of slipperiness.;These light blue berries can be found in small clumped packs among small bushes in lush environments. They can be safely ingested and are often eaten by wild animals for their sweet, but tangy flavor. A skilled Herbalist can enhance the berries natural ability to affect a persons body.;Plant;Forest, Hill
Olisuba Leaf;50;Uncommon;Enchantment: User creates a potion of maximum power.;These dried leaves of the Olisuba tree, when steeped to make a tea, can help a body recover from strenuous activity. If you drink a dose of Olisuba tea during a long rest, your exhaustion level is reduced by 2 instead of 1 at the end of that long rest.;Plant;Forest, Grassland, Swamp
Primordial Balm;20;Rare;Enchantment: User creates a potion of fire fiant strength.;This thick substance has been observed changing its coloring, almost at will. The balm is unusually warm to the touch, and can seem to retain heat for weeks on end. Herbalists often find this substance growing on rocks in humid environments. The exact rarity of the substance is unknown, as its constantly changing appearance makes it difficult to identify;Plant;Mountain, Swamp, Underdark, Town
Rock Vine;20;Rare;Enchantment: User creates a potion of invulnerability.;This extremely hardened dark green vine can be found growing in the ground near very old minerals, often seeming to feed off the minerals themselves. At first glance this vine seems completely useless to mortals, but arcane studies have shown this vine to harden a person’s skin significantly if combined with a powerful catalyst.;Plant;Hill, Mountain, Town
Scillia Beans;10;Common;Enchantment: User creates a potion of climbing.;These light brown beans can occasionally be found hanging from Scillia Bushes in dry atmosphere environments. They are often used to enhance flavors in stew and other meals, but have a much stranger effect. At full potency, some of these beans can offer the user the ability to climb steep cliffs and rock faces with ease.;Plant;Desert, Grassland
Silver Hibiscus;20;Rare;Enchantment: User creates a potion of fire breath.;This silver-grey plant looks as though it represents madness itself. It often has random patterns and unplanned shapes, but always has a black web-like pattern on it. Although it may look deadly to touch, when prepared properly a Herbalist can unleash a torrent of elemental power representing a breath weapon.;Plant;Arctic, Underdark
Soothsalts;150;Rare;Enchantment: User creates a potion of psychic resistance.;"Soothsalts are derived from a naturally occurring crystalline substance discovered throughout the wilds of the Miskath Strand. The crimson crystals have been mined from cavernous veins like those in the mouth of the Miskath Pit and found within smaller geode formations near sites ravaged by the Calamity. Soothsalts are consumed orally in lozenge-sized doses, and frequent users can be identified by the telltale crimson stain around their mouths. A creature subjected to a dose of soothsalts gains advantage on all Intelligence checks for 1d4 hours.

For each dose of soothsalts consumed, the creature must succeed on a DC 15 Constitution saving throw or gain one level of exhaustion—an effect which is cumulative with multiple doses.";Plant;Mountain, Underdark
Sprig of Mistletoe;10;Common;Enchantment: User creates a potion of watchful rest;With dark green leaves and pearl-like berries, this plant is well known for being focuses for Druids. However, in the hands of an Herbalist, it can be used to create potions that can allow those who drink it the ability to stay up for hours on end without being exhausted the next day.;Plant;Forest, Grassland, Hill
Tail Leaf;25;Very Rare;Enchantment: User creates a potion of speed.;This very fuzzy, dark green leaf looks like a circle with three thick strands hanging from it. When held, the leaf itself feels as though it is vibrating. It is known that a skilled Herbalist can use these leaves in concoctions to create powerful magical effects to enhance one’s speed.;Plant;Grassland, Hill
Theki Root;3;Common;Enchantment: User creates a potion of poison resistance.;This thick marsh root tastes bitter but is thought to aid digestive health. When you use an action to consume a dose without brewing it into a potion, you gain advantage on saving throws against the effects of poisonous or toxic substances for 8 hours.;Plant;Swamp
Verdant Nettle;15;Uncommon;Enchantment: User creates a potion of animal friendship.;With its dark green and yellow speckled mesh, this plant can be easily spotted. It normally grows in forests and can catch a person’s feet when traveling if they do not have proper footing. Alchemists like to use this plant to create tonics that enhance one’s strength and reflexes.;Plant;Forest
Voidroot;25;Very Rare;Enchantment: User creates a potion of flying.;This dark grey thick root is often found amongst the most extreme environments. It normally grows in either desert or arctic environments and seems to vary in growth rate per root. Herbalists tend to be very careful when they extract this root from the ground, as it seems to defy gravity and want to “fly” away.;Plant;Arctic, Desert
Willowshade Oil;30;Uncommon;Enchantment: User creates a potion of stone giant strength.;A dark blue oil can be extracted from the rare fruit of the willowshade plant. A creature can use its action to apply the oil to another creature that has been petrified for less than 1 minute, causing the petrified condition on that creature to end at the start of what would be that creature’s next turn.;Plant;Forest, Swamp, Coastal
Wisp Stalks;25;Very Rare;Enchantment: User creates a potion of invisibility.;This incredibly rare fungi has become something of a fable amongst herbalists. It is reported to have a large bulbous cap growing atop a thin stem, and to normally form in small clusters deep within damp cave environments and forests. The organism is usually a translucent blue, and is rumored to render creatures invisible once consumed.;Plant;Forest, Underdark, Town
Wrackwort Bulbs;20;Rare;Enchantment: User creates a potion of diminution.;These huge white bulbs can be found on small yellow mushrooms often found in swamps or wet caverns. The mushroom releases a puff of powder from these bulbs when threatened and it tends to confuse and hinder a person. When harvested successfully, these bulbs can be ground into a paste and imbibed within magical water to diminish the size of a being.;Plant;Coastal, Swamp, Underwater, Ocean
