Encounter;Rarity;Terrain
2d6 lepers (commoners) driven from a nearby city ambush the party, seeking food;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
1d4+1 scouts ambush the party. Looting their bodies uncovers some gold and a note saying someone has put a bounty on one of the party.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party walks by 2d4 boggles running off with various camping supplies. Several minutes later several travelers run by asking if the party has seen a group of boggles.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A knight on a warhorse wielding a lance claims the party are dragons in disguise and charges them down.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A plague doctor is dumping a cart of dead bodies into a fresh-dug hole in the ground, and is preparing to burn them. If asked, the doctor will tell the party that the outbreak seems to be a new disease.;very rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A drunken paladin riding a horse walks past the party. He is rude to them and will attempt to seduce players into an orgy.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
Two caped figures are leading a third bound figure along the road. If questioned, they claim the person is a captured criminal. The bound person claims the other two are cultists and beg for help. The DM decides which is true.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A dryad runs by, chased by a woodsperson (berserker) swinging their axe. If The party help the dryad, they reward the party with some treasure. If The party help the Woodsperson, they tell the party about a short cut, remove a day of travel for The party.;uncommon;Forest
A satyr offers to show the party a magical wonder, for a price of 10 gp. If they go there, they find an empty wishing well with a dungeon at the bottom.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
An oni and a bheur hag are in the middle of the road, discussing who is prettier. They ask the party to help settle the problem.;rare;Arctic, Forest
An Ancient Gold Dragon approaches the party, disguised as a noblewoman. She jests with the party for awhile before moving on. If provoked, she will perform a show of strength to intimidate the party.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
A cage containing a flail snail has fallen off a caravan and is attacking the caravan workers who come to close to it. The workers will ask The party to help them get the cage back in the wagon, rewarding them if they help.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A pack of 1d6+2 centaurs convinced that the party has been hunting in their woods approach the players and request they stop. If the party convinces the centaurs that they aren't hunting in their woods, the centaurs will ask the party to relay that message to anyone else they see on the road.;common;Forest, Grassland
?A wagon is ahead of the party on a cliffside when out of nowhere a troll throws a boulder at it, causing it to dangle off the cliff. Upon investigation, the party finds 1d4+1 trolls moving to attack the wagon.;rare;Mountain
You find a small toy bear lying in the road in a town. The owner is a small child that can be found in the next town. If you find the child and return the bear, the child's mother gives you a silver coin reward.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A dragon that has gained the scent of the party flies down, cutting them off and attacking them.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Ocean
A green abishai swoops down in front of the party. They demand entertainment through a contest of magic (no cantrips), the winner gains a magical item from the other. If the party can manage to cast more leveled spells than the dragon, the dragon will reward the party will a single random rare magical item. If the party fails or casts three cantrips, the dragon will demand a magical item from them. If the party refuses, the dragon will leave them alone but be sure to gain their scent.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Ocean
The party hears cries for help as a family in a run away carriage runs by the party. If the party helps, one of the family members will give them a gold piece as a reward.;rare;Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp
A group of farmers approach the party and ask them to help find their herd of goats, promising a good reward. The party must succeed in a skill challenge to find the goats in a nearby field, and the farmers will give them a sack of gold for their troubles. If the party fails, it quickly becomes night and the goats are lost. ;uncommon;Forest, Grassland, Coastal
Throughout the day, the party overhears other adventures mentioning a dead dragon's treasure. The party can search the area for the treasure through a skill challenge. If the party has no failures, they find the treasure first. Otherwise, another group of 2d4 assassins beat them to it.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
A kleptomaniac is found beaten by the side of the road. If the players help him, they discover later that they are missing items. They can attempt to recover the items by tracking him down and getting them back.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
The party finds a group of 1d4+2 children being lead by an elf. The children surround the players, admiring their cool armor and weapons. They are actually halfling thieves trying to pickpocket them.;;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
A pixie flies out of the forest and asks the party to make a dress for an upcoming date. If they agree they receive gold. If they don’t she runs away crying and returns later with her werebear date and the werebear’s sister, both very upset.;rare;Forest
The party encounters a traveling merchant selling potions dirt cheat. Upon investigating a potion, it is discovered to be poison. Turning the merchant over to the local authorities brings a nice reward.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A monster hunter (knight) approaches the party for assistance slaying a mark. She promises the party a nice reward if they help her. The mark turns out to be a tyrannosaurus rex. On round 3 of the battle, another tyrannosaurus rex arrives to join the battle.;rare;Grassland, Town
A masked figure approaches the party requesting aid in smuggling themselves and their partner into the nearby city. If the party pushes for more details and with a high enough Persuasion check, they learn that the couple are Medusas looking to meet a sorcerer who claims they can transform the Medusas into humans.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A group of 2d6+1 Tritons, riding giant seahorses, surround the party. They claim the party is trespassing and will attempt to peacefully take the party to their underwater city.;uncommon;Underwater
The party comes across a group of 2d4 kraken priests in the midsts of a ritual. If spotted, they will be asked to join the ritual as sacrifices to the kraken. If the party refuses, the one of the priests will break off from the ritual to try and capture them leaving the others to continue the ritual.;rare;Underwater
The party finds a Locathah swimming through the water. They offer to sell the party some shells and pearls for 200% of their normal price. They also mention how they've cleared the whole area within ten miles.;uncommon;Underwater, Town
The party finds a Grung floating near an underwater cave. They offer to sell the party some basic equipment that has fallen from ships in the past, they even have spare parts for ships, barrels of wine, and an uncommon magical item.;uncommon;Underwater
The party finds a Triton making their way to the local Triton city. They tow a giant seahorse behind them as a packmule to hold their wares. They offer to sell the party some common magical items for 150% of their normal price.;uncommon;Underwater
A dwarf brew-master travelling by wagon to the nearest city. He has a broken wheel without replacement. Should the party help, they are rewarded with a cask of fine spirits.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A group of 1d4+2 hunters (spies) approach the party asking if they would like to join in on a hunt for rare creatures. If the party refuses, the hunters will tell them they are hunting unicorns and will split any treasure they find. If the players agree, they can attempt a skill challenge to track down two unicorns dwelling in the forest nearby.;very rare;Forest
A blind chicken farmer hears the party approach and calls for their assistance, wanting them to find out what happened to his wife and sons. His chicken coop has been overrun with 3d6 cockatrices that have turned his wife and sons to stone. (The farmer isn’t too bright, and his chickens never were real chickens. They’ve been cockatrices the entire time.);uncommon;Grassland
A friendly Orc War Chief and 2d6 orcs are on a crab fishing trip. They have accidentally caught three chuul which have attacked them when the party comes across them. If the party helps the orcs, they may mistake the help as an attack or reward them, depending on what the party does.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party sees a trail of biscuits leading to a huge wooden box propped up with a branch with a pile of biscuits underneath and a rope tied to the branch that leads to a snickering hill giant. The hill giant believes he is invisible, and he’s trying to trap his dinner.;rare;Hill
A group of 1d6 mages are fighting a group 3d2 druids. The mages want the magical moss the druids are protecting. The moss is Quicksilver Lichen.;rare;Forest, Grassland, Coastal
The party comes upon a camp in a picturesque location. Camping here is an artist with easels set up. The artist is a horned devil in disguise. It offers to paint the party into a landscape painting, for a few gold. If they agree, it uses a special paint brush to brush the party’s souls into the painting.;very rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
The party comes upon a camp in a picturesque location. Camping here is an artist with easels set up. The artist offers to paint the party into a landscape painting, for a few gold.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party sees an adult red dragon fly away from a blasted battlefield. On the battlefield they can find a dying adventurer who begs them to avenge the deaths of his friends. He can tell them where the lair of the dragon is, but then dies. If the heals or revives the adventurer, use Captain Othelstan's stat block.;very rare;Hill, Mountain
A small building can be seen just off the path, loud banging and shouting can be heard inside. A group of reveling satyrs welcome the party in for drinking (clothes optional). ;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
the party encounters a traveling apothecary that has potions that have strange, random effects. They could roll on a table like Wild Magic when they drink one.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party comes across a group of 2d4+2 elven bandits who only talk in questions. They block the path and will surround the party, however they will allow the characters through if they can stump them.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
They come across what appears to be a wizard on a farm casting spells at a pig. The wizard is actually a lich, and it’s having trouble targeting the pig with it’s spells. The lich is only hostile if attacked.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party encounters a group of 3d6 veterans escorting a notorious killer to be executed. The killer is actually an innocent man and pleads for the party's help.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A Dwarven tax collector (felbarren dwarf) approaches the party and demands 15% of the takings from their last adventure as taxes to be paid to the local ruler. There are 1d6 bodyguards (gladiators) with the dwarf who will attempt to arrest the party if they refuse.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
The party encounters a lonely injured adult copper dragon that just wants some friends to joke with and talk to. The dragon was abandoned by its family and left to die after being attacked by a powerful lich. If the party helps the dragon heal and keeps it company, it will reward them with friendship.;very rare;Hill
A group of 2d6 teenagers (bandits) who style themselves “demon hunters” and call themselves The Order of the Holy Sword, approach the heroes and ask if there are any demons nearby. One of the members insists that the party may be demons and demands proof that they are not.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
There are two people on a farm arguing over who owns a cow. One person abandoned the calf and other person took it in. The first person wants it back now. If the party intervenes, whoever ends up with the cow will give the party 2d6gp for their help.;common;Grassland
The party hears wailing somewhere off the path. If they investigate, they find a Winter Eladrin weeping for her fallen sister. A poisoned arrow pierces the sister's heart. The party can attempt to identify the killers through a skill challenge. If they are able to figure out who the killers are, the winter eladrin will attempt to avenge her sister with or without the party's help.;rare;Arctic, Forest
The party encounters a drunken archmage wandering about with the hiccups who accidentally casts a spell each time they hiccup or burp. Some of the spells are very harmful and target the party.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
There's a group of 4d6 tribal warriors celebrating around a massive bonfire. If party joins in the celebrations, they warriors give them some nice gifts.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party finds a carriage with a broken wheel, driving the carriage are two mages that come down and ask for the party's assistance. They talk about how they work for a fortune teller and that she can tell their fortune if the party fixes the wheel. Only after the wheel is fixed will the fortune teller reveal themselves in the carriage. They are an Alhoon who gives the party an omen of what is to come.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
1d4+2 duergar warlords approach the party and accuse of having stolen their gems. They will attempt to arrest the party and take them back to their city if the party fails to give them 300gp worth of gems.;uncommon;Mountain, Underdark
The party comes across a paladin (champion) that is being mind controlled by a sentient sword who is trying to find a worthy master. The sword chooses one of the players to be its master and telepathically begs the player to defeat the paladin in one-on-one combat in order to claim it as their own. If the player refuses, the sword will cast Compelled Duel, Wis saving throw DC17.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party hear shouts crying out for help. If the party acts quickly, they find a group of four new adventures (veteran) who are gravely wounded and running for their lives out of a troll cave with 1d4+1 venom trolls in it. If the players don't act quick enough, they will find the remains of the adventurers currently being eaten by the trolls.;very rare;Arctic, Mountain, Swamp
A young storm giant and it's pet roc request the party’s assistance in hunting a local ancient blue dragon. The giant will beg the party if they refuse, telling them how he boasted about his ability to kill an ancient dragon, but needs assistance. With a high enough Persuasion check the giant will agree to whatever the party's terms are. If the party agrees, they will need to complete a skill challenge to track down the dragon.;rare;Coastal
A young storm giant and it's pet roc request the party’s assistance in hunting a local ancient bronze dragon. The giant will beg the party if they refuse, telling them how he boasted about his ability to kill an ancient dragon, but needs assistance. With a high enough Persuasion check the giant will agree to whatever the party's terms are. If the party agrees, they will need to complete a skill challenge to track down the dragon.;rare;Coastal
A young hill giant and it's pet gray render request the party’s assistance in hunting a local ancient copper dragon. The giant will beg the party if they refuse, telling them how he boasted about his ability to kill an ancient dragon, but needs assistance. With a high enough Persuasion check the giant will agree to whatever the party's terms are. If the party agrees, they will need to complete a skill challenge to track down the dragon.;uncommon;Hill
A young stone giant and it's pet gray render request the party’s assistance in hunting a local ancient copper dragon. The giant will beg the party if they refuse, telling them how he boasted about his ability to kill an ancient dragon, but needs assistance. With a high enough Persuasion check the giant will agree to whatever the party's terms are. If the party agrees, they will need to complete a skill challenge to track down the dragon.;uncommon;Hill
A young fire giant and it's pet phoenix request the party’s assistance in hunting a local ancient red dragon. The giant will beg the party if they refuse, telling them how he boasted about his ability to kill an ancient dragon, but needs assistance. With a high enough Persuasion check the giant will agree to whatever the party's terms are. If the party agrees, they will need to complete a skill challenge to track down the dragon.;very rare;Mountain
A young frost giant and it's pet abominable yeti request the party’s assistance in hunting a local ancient white dragon. The giant will beg the party if they refuse, telling them how he boasted about his ability to kill an ancient dragon, but needs assistance. With a high enough Persuasion check the giant will agree to whatever the party's terms are. If the party agrees, they will need to complete a skill challenge to track down the dragon.;very rare;Arctic
The party crest a hill to see a massive terrasque. A split second later, it transforms into a cow, then an ancient red dragon, then a mouse. With a high enough perception, the players can see a wizard attempting to polymorph the creature into these various forms.;rare;Coastal, Forest, Hill, Mountain
After the sun has set, a travelling con man approaches the party and asks them to help save a loved one from a group of gith that was kidnapped the previous night. If the party agrees, the con man will urge them to leave tonight and raid the camp. The party must complete a skill challenge in order to find the camp. If they fail, the sun will rise, and the con man will run off from the party. If they succeed, the will locate the camp, and discover where the kidnapped loved one is located. If the gith discover the party, they will attack and the con man will reveal himself to be a vampire and they are rescuing a vampire spawn.;very rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
The party encounters a local champion (gladiator) who challenges the strongest member of the party to a boulder rolling contest. The two will make contested Athletics checks to see who can throw the boulder the farthest.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
Near the end of the day, the party comes across a group of adventuring goblins who are currently sitting around a fire. They offer some food and will trade stories. They may even trade some items if the party has anything useful.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark
A call can be heard in the distance as the party turns to find a messenger running up to them. The messenger hands a box off to one of the players, explains the gift is from the player's parents and that the have all they need to open the box before running off. Carved into the top of the box there are two intertwined hands, there is a line within the carvings as if you are supposed to write something there. The box is magically locked but with a decent Acana check, they party will learn that attempting to break the lock will destroy the contents inside. A high Arcana check will reveal this is an heirloom box and that the player needs to write the password on the lid in order to open it. Heirloom boxes passwords are usually something known to the family, last names, nicknames, phrases, etc. from the player's past. To open the box, the party member's parent's names must be written on the lines in the hands. (Inspried by @Vowelheavy on Tiktok);uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
The party comes across a bloodied Deva with a broken wing. He was stabbed and cursed, so he can't fly or receive any magical healing. If the players can help him get through a long rest so he can heal, the Deva will reward them handsomely. Throughout the Deva's long rest, Fiends in the area are drawn to his presence and will attempt to slay the Deva. 1d6+2 Abyssal Chickens will attack within the first hour. 1d4+1 Hell Hounds will surround the area and attack near the middel of the long rest. 1d2+1 White Abishai will attack near the end of the long rest. (DM, use discretion for how much your party can take.);rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark
The party sees a group of Fiends (Eater of Hope) beating on a single creature, once the fiends notice the party, they will fly away. The creature left behind is a well-known paladin famous for saving a city from an demon attack. She is wounded and dying, and asks the party to carry her greatsword (Acheron Blade) back to her family and tell them of her fate.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party will come across an old couple walking the opposite direction of the party. One of the husbands is sick and seems to be greatly infected, while the other husband is helping them walk. They will kindly ask the party for gold to help pay for an incredibly skilled healer in the next city. If the party heals the sick man, it will have no affect. The pair are actually a succubus and an incubus attempting to scam the party and take their gold. The only way to recognize their intent is through an insight check.;uncommon;Coastal, Forest, Grassland, Hill, Mountain, Swamp
The party comes across a single sad monodrone that asks them the meaning of life. If the party says something positive, they need to roll a persuasion (or deception) check. On a high enough roll, the mondrone will believe them and wander off a little happier. Otherwise, the monodrone will wander off to forever be unhappy and sad with life.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
